agent,user_id,reward_eff
Greedy,66,-4827.598708801433
Greedy,67,-3454.552643928514
Greedy,68,-3181.2761698812365
Greedy,69,-1231.9114094137228
Greedy,70,-642.3665386494825
Greedy,71,-3162.2496241848094
Greedy,72,-445.0745217940424
Greedy,73,-1670.745228835066
Greedy,74,-968.6482487290249
HC,0,-1972.7313946786685
HC,1,-2567.969733378717
HC,2,-2418.8527461339195
HC,3,-4171.178381977868
HC,4,-1387.6336486173286
HC,5,-2066.645396754982
HC,6,-3147.8711570990017
HC,7,-4141.099848603536
HC,8,-3835.5241086379756
HC,9,-2066.450093523737
HC,10,-657.3608864871788
HC,11,-978.2759090505313
HC,12,-4582.413726685172
HC,13,-245.98301698032438
HC,14,-2215.4914048225883
HC,15,-927.2541013182565
HC,16,-2439.353686595428
HC,17,-827.5511351477171
HC,18,44.282018496938676
HC,19,-2111.3870905128083
HC,20,-2473.267850335023
HC,21,-547.9605764259516
HC,22,-93.90111065753808
HC,23,-3308.5504228187906
HC,24,-157.7436604566285
HC,25,229.3729248550444
HC,26,-1790.0829189160006
HC,27,-1195.4371853105383
HC,28,-4753.747253042117
HC,29,-2255.8970241016673
HC,30,-1184.9810312053519
HC,31,-2689.6102286949863
HC,32,172.39873322840418
HC,33,-2078.076238526723
HC,34,-3517.5428928894985
HC,35,-290.78255194557477
HC,36,-379.68559983728704
HC,37,-290.8650606044033
HC,38,-4146.847282557634
HC,39,-4032.3197654865835
HC,40,-2704.8639205502523
HC,41,-1802.246281317709
HC,42,-906.1349622049742
HC,43,10.775586199298719
HC,44,-2158.0424570473606
HC,45,-2592.2189264005447
HC,46,-2675.446579543952
HC,47,-2819.3344091705007
HC,48,-675.1762599657503
HC,49,-1749.7456683234584
HC,50,-3360.7527031676173
HC,51,-2787.163507962903
HC,52,-439.9408147395872
HC,53,-525.2052806202311
HC,54,-1411.513216989131
HC,55,-3748.53185381007
HC,56,-525.8360098005908
HC,57,-4292.815833347671
HC,58,-1242.261921836731
HC,59,-815.7072678640463
HC,60,-4015.6336731622664
HC,61,-4156.896753409898
HC,62,-2969.117042234113
HC,63,-71.18827304903566
HC,64,-2348.9364911033344
HC,65,-1037.491671842756
HC,66,-4798.5643610295265
HC,67,-3490.47157819216
HC,68,-3272.5219079489734
HC,69,-1406.6124180480406
HC,70,-817.0439220044884
HC,71,-3211.4873481981476
HC,72,-724.317719571312
HC,73,-1728.8540153911074
HC,74,-1037.7188759790863
Q,0,-1863.5014394617717
Q,1,-2386.1243218449576
Q,2,-2327.1932677753293
Q,3,-4168.680936055179
Q,4,-1240.4539263392912
